"","radtime","narrow.band","qrad.narrow","wide.band","qrad.wide"
"2952",24.5,0,0,-2.83063200000005e-08,-0.0164609113666669
"2953",24.51,0,0,-2.83063200000005e-08,-0.0164609113666669
"2954",24.52,0,0,-2.83063200000005e-08,-0.0164609113666669
"2955",24.53,0,0,-2.83063200000005e-08,-0.0164609113666669
"2956",24.54,0,0,-2.83063200000005e-08,-0.0164609113666669
"2957",24.55,0,0,-2.83063200000005e-08,-0.0164609113666669
"2958",24.56,0,0,-2.83063200000005e-08,-0.0164609113666669
"2959",24.57,0,0,-2.83063200000005e-08,-0.0164609113666669
"2960",24.58,0,0,-2.83063200000005e-08,-0.0164609113666669
"2961",24.59,0,0,-2.83063200000005e-08,-0.0164609113666669
"2962",24.6,0,0,-2.83063200000005e-08,-0.0164609113666669
"2963",24.61,0,0,-2.83063200000005e-08,-0.0164609113666669
"2964",24.62,0,0,-2.83063200000005e-08,-0.0164609113666669
"2965",24.63,0,0,-2.83063200000005e-08,-0.0164609113666669
"2966",24.64,0,0,-2.83063200000005e-08,-0.0164609113666669
"2967",24.65,0,0,-2.83063200000005e-08,-0.0164609113666669
"2968",24.66,0,0,-2.83063200000005e-08,-0.0164609113666669
"2969",24.67,0,0,-2.83063200000005e-08,-0.0164609113666669
"2970",24.68,0,0,-2.83063200000005e-08,-0.0164609113666669
"2971",24.69,0,0,-2.83063200000005e-08,-0.0164609113666669
"2972",24.7,0,0,-2.83063200000005e-08,-0.0164609113666669
"2973",24.71,0,0,-2.83063200000005e-08,-0.0164609113666669
"2974",24.72,0,0,-2.83063200000005e-08,-0.0164609113666669
"2975",24.73,0,0,-2.83063200000005e-08,-0.0164609113666669
"2976",24.74,0,0,-2.83063200000005e-08,-0.0164609113666669
"2977",24.75,0,0,-2.83063200000005e-08,-0.0164609113666669
"2978",24.76,0,0,-2.83063200000005e-08,-0.0164609113666669
"2979",24.77,0,0,-2.83063200000005e-08,-0.0164609113666669
"2980",24.78,0,0,-2.83063200000005e-08,-0.0164609113666669
